region,total_cases,total_injured,total_died,fatality_rate,injury_rate,severity_index,risk_category,road_cases,rail_cases,crossing_cases
Nagaland,29,42,27,0.9310,1.4483,3.3103,"High Risk",24,0,5
Sikkim,199,371,98,0.4925,1.8643,2.8492,"High Risk",199,0,0
Mizoram,71,28,83,1.1690,0.3944,2.7324,"High Risk",71,0,0
Varanasi,162,86,174,1.0741,0.5309,2.6790,"High Risk",133,29,0
Meghalaya,246,310,162,0.6585,1.2602,2.5772,"High Risk",246,0,0
"Dadra and Nicoabr Haveli and Daman and Diu",175,257,80,0.4571,1.4686,2.3829,"High Risk",175,0,0
"Himachal Pradesh",2484,3891,979,0.3941,1.5664,2.3547,"High Risk",2484,0,0
Nasik,214,49,225,1.0514,0.2290,2.3318,"High Risk",190,24,0
Bihar,12297,7074,10397,0.8455,0.5753,2.2662,"High Risk",10801,1444,52
"Arunachal Pradesh",215,177,152,0.7070,0.8233,2.2372,"High Risk",215,0,0
Jharkhand,5544,3766,4251,0.7668,0.6793,2.2128,"High Risk",5175,362,7
Uttarakhand,1749,1613,1117,0.6387,0.9222,2.1995,"High Risk",1674,74,1
Manipur,510,817,129,0.2529,1.6020,2.1078,"High Risk",508,2,0
Asansol,504,308,372,0.7381,0.6111,2.0873,"High Risk",497,7,0
Punjab,7100,3446,5602,0.7890,0.4854,2.0634,"High Risk",6122,978,0
Pune,404,107,360,0.8911,0.2649,2.0470,"High Risk",387,17,0
Mumbai,538,4,538,1.0000,0.0074,2.0074,"High Risk",538,0,0
Agra,806,91,756,0.9380,0.1129,1.9888,"High Risk",729,66,11
Gujarat,16549,15139,8417,0.5086,0.9148,1.9320,"High Risk",15777,766,6
Amritsar,117,62,82,0.7009,0.5299,1.9316,"High Risk",117,0,0
Ludhiana,467,174,364,0.7794,0.3726,1.9315,"High Risk",467,0,0
"Uttar Pradesh",41405,21735,28615,0.6911,0.5249,1.9071,"High Risk",36875,3190,1340
Rajasthan,24562,22257,12046,0.4904,0.9062,1.8870,"High Risk",23620,942,0
Patna,275,121,198,0.7200,0.4400,1.8800,"High Risk",275,0,0
"West Bengal",13402,8463,8216,0.6130,0.6315,1.8576,"High Risk",10635,2221,546
Odisha,11744,10323,5497,0.4681,0.8790,1.8151,"High Risk",11663,27,54
"Andhra Pradesh",22099,21340,9330,0.4222,0.9657,1.8100,"High Risk",21070,1029,0
Karnataka,39765,48154,11705,0.2944,1.2110,1.7997,"High Risk",39765,0,0
Maharashtra,35373,25564,18893,0.5341,0.7227,1.7909,"High Risk",30546,4827,0
Tripura,604,541,270,0.4470,0.8957,1.7897,"High Risk",575,27,2
Haryana,11876,8379,6424,0.5409,0.7055,1.7874,"Medium Risk",10654,1127,95
Chhattisgarh,13524,11480,6323,0.4675,0.8489,1.7839,"Medium Risk",13091,429,4
Lakshadweep,4,3,2,0.5000,0.7500,1.7500,"Medium Risk",4,0,0
Ladakh,268,333,66,0.2463,1.2425,1.7351,"Medium Risk",268,0,0
Assam,7739,5679,3775,0.4878,0.7338,1.7094,"Medium Risk",7028,689,22
Tiruchirappalli,542,624,149,0.2749,1.1513,1.7011,"Medium Risk",542,0,0
Surat,719,553,330,0.4590,0.7691,1.6871,"Medium Risk",683,36,0
Dhanbad,179,73,114,0.6369,0.4078,1.6816,"Medium Risk",179,0,0
Faridabad,629,448,302,0.4801,0.7122,1.6725,"Medium Risk",629,0,0
Ranchi,175,111,90,0.5143,0.6343,1.6629,"Medium Risk",175,0,0
Meerut,477,443,175,0.3669,0.9287,1.6625,"Medium Risk",451,0,26
"Jammu and Kashmir",6142,8352,890,0.1449,1.3598,1.6496,"Medium Risk",6090,49,3
Telangana,22235,20209,8184,0.3681,0.9089,1.6450,"Medium Risk",21619,616,0
Lucknow,1450,994,685,0.4724,0.6855,1.6303,"Medium Risk",1408,34,8
"Tamil Nadu",66117,67892,19717,0.2982,1.0268,1.6233,"Medium Risk",64105,2012,0
Ghaziabad,931,661,410,0.4404,0.7100,1.5908,"Medium Risk",883,48,0
"Vasai Virar",342,213,165,0.4825,0.6228,1.5877,"Medium Risk",342,0,0
Aurangabad,505,352,218,0.4317,0.6970,1.5604,"Medium Risk",491,14,0
Vadodara,483,378,186,0.3851,0.7826,1.5528,"Medium Risk",478,5,0
Chandigarh,238,203,83,0.3487,0.8529,1.5504,"Medium Risk",238,0,0
"Chandigarh (city)",238,203,83,0.3487,0.8529,1.5504,"Medium Risk",238,0,0
"Madhya Pradesh",53479,51264,15432,0.2886,0.9586,1.5357,"Medium Risk",51965,1275,239
Malappuram,873,1098,119,0.1363,1.2577,1.5304,"Medium Risk",870,3,0
"Prayagraj +",1370,886,603,0.4401,0.6467,1.5270,"Medium Risk",1370,0,0
Jodhpur,700,505,281,0.4014,0.7214,1.5243,"Medium Risk",686,14,0
Kota,473,431,140,0.2960,0.9112,1.5032,"Medium Risk",444,29,0
Jamshedpur,167,115,68,0.4072,0.6886,1.5030,"Medium Risk",167,0,0
Kannur,1656,2118,170,0.1027,1.2790,1.4843,"Medium Risk",1635,21,0
Vishakhapatnam,1352,1288,358,0.2648,0.9527,1.4822,"Medium Risk",1352,0,0
Rajkot,511,422,163,0.3190,0.8258,1.4638,"Medium Risk",498,13,0
Kanpur,1750,955,795,0.4543,0.5457,1.4543,"Low Risk",1595,0,155
